27.0,84.0,26.0,95.0
27.0,84.0,26.0,95.0
27.0,84.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,85.0,26.0,95.0
27.0,84.0,26.0,95.0
27.0,84.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,84.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,81.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,83.0,25.0,95.0
27.0,84.0,26.0,95.0
27.0,83.0,26.0,95.0
27.0,83.0,25.0,95.0
27.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,81.0,25.0,95.0
26.0,83.0,26.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,26.0,95.0
26.0,83.0,26.0,95.0
26.0,81.0,25.0,95.0
26.0,81.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,81.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
27.0,84.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,85.0,25.0,95.0
13.0,170.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,85.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,82.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,84.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,81.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,25.0,95.0
26.0,83.0,24.0,95.0
26.0,83.0,25.0,95.0
26.0,82.0,24.0,95.0
26.0,82.0,24.0,95.0
26.0,82.0,24.0,95.0
26.0,82.0,24.0,95.0
26.0,83.0,24.0,95.0
26.0,83.0,24.0,95.0
26.0,84.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,84.0,24.0,95.0
26.0,85.0,24.0,95.0
25.0,84.0,24.0,95.0
25.0,84.0,24.0,95.0
25.0,84.0,25.0,95.0
25.0,84.0,24.0,95.0
25.0,84.0,24.0,95.0
26.0,85.0,12.0,175.0
25.0,84.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,83.0,24.0,95.0
25.0,83.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,82.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,84.0,24.0,95.0
26.0,83.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
13.0,169.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,81.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
26.0,83.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,81.0,24.0,95.0
25.0,80.0,12.0,175.0
25.0,82.0,24.0,95.0
25.0,82.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,79.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,81.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,80.0,24.0,95.0
25.0,79.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,78.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,76.0,24.0,95.0
12.0,166.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,75.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
25.0,77.0,24.0,95.0
12.0,166.0,24.0,95.0
25.0,76.0,24.0,95.0
25.0,76.0,24.0,95.0
25.0,74.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,72.0,24.0,95.0
25.0,72.0,24.0,95.0
25.0,70.0,24.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,77.0,23.0,95.0
25.0,77.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,77.0,23.0,95.0
12.0,166.0,23.0,95.0
25.0,77.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,74.0,23.0,95.0
12.0,166.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,76.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
24.0,75.0,23.0,95.0
24.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,75.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,74.0,23.0,95.0
24.0,74.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,74.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,71.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,70.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
12.0,164.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
24.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,71.0,23.0,95.0
25.0,71.0,23.0,95.0
25.0,71.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,70.0,23.0,95.0
12.0,164.0,23.0,95.0
25.0,70.0,23.0,95.0
24.0,73.0,23.0,95.0
25.0,73.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
25.0,72.0,23.0,95.0
24.0,72.0,23.0,95.0
25.0,70.0,23.0,95.0
24.0,72.0,23.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,23.0,95.0
24.0,72.0,23.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,23.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,23.0,95.0
24.0,72.0,23.0,95.0
24.0,72.0,22.0,95.0
25.0,72.0,22.0,95.0
25.0,72.0,23.0,95.0
25.0,71.0,22.0,95.0
25.0,71.0,22.0,95.0
25.0,71.0,22.0,95.0
25.0,71.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,69.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
25.0,66.0,11.0,175.0
25.0,66.0,22.0,95.0
25.0,68.0,23.0,95.0
25.0,68.0,22.0,95.0
25.0,68.0,22.0,95.0
24.0,69.0,22.0,95.0
25.0,67.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,69.0,22.0,95.0
24.0,71.0,22.0,95.0
25.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,69.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,69.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,68.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,68.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,68.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,70.0,22.0,95.0
12.0,162.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
12.0,164.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
12.0,164.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,71.0,22.0,95.0
12.0,164.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,71.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,74.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,73.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,70.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
24.0,72.0,22.0,95.0
25.0,72.0,22.0,95.0
25.0,71.0,22.0,95.0
25.0,71.0,22.0,95.0
25.0,70.0,22.0,95.0
26.0,70.0,22.0,95.0
26.0,69.0,22.0,95.0
13.0,162.0,22.0,95.0
27.0,67.0,22.0,95.0
27.0,66.0,22.0,95.0
27.0,65.0,22.0,95.0
27.0,64.0,22.0,95.0
28.0,64.0,22.0,95.0
28.0,64.0,22.0,95.0
28.0,64.0,22.0,95.0
28.0,63.0,22.0,95.0
28.0,63.0,22.0,95.0
28.0,62.0,22.0,95.0
29.0,63.0,22.0,95.0
29.0,62.0,23.0,95.0
29.0,61.0,23.0,95.0
29.0,61.0,23.0,95.0
29.0,60.0,23.0,95.0
14.0,158.0,23.0,95.0
29.0,60.0,23.0,95.0
29.0,59.0,23.0,95.0
30.0,59.0,23.0,95.0
30.0,59.0,23.0,95.0
30.0,58.0,23.0,95.0
30.0,58.0,23.0,95.0
30.0,58.0,23.0,95.0
15.0,157.0,23.0,95.0
30.0,57.0,23.0,95.0
31.0,58.0,23.0,95.0
31.0,56.0,23.0,95.0
31.0,57.0,23.0,95.0
31.0,55.0,24.0,95.0
31.0,57.0,24.0,95.0
31.0,57.0,24.0,95.0
31.0,57.0,24.0,95.0
31.0,56.0,24.0,95.0
31.0,56.0,24.0,95.0
31.0,56.0,24.0,95.0
31.0,55.0,24.0,95.0
31.0,53.0,24.0,95.0
16.0,154.0,24.0,95.0
32.0,54.0,24.0,95.0
16.0,155.0,24.0,95.0
32.0,54.0,24.0,95.0
32.0,54.0,24.0,95.0
32.0,54.0,24.0,95.0
32.0,54.0,25.0,95.0
32.0,53.0,25.0,95.0
32.0,53.0,25.0,95.0
32.0,53.0,25.0,95.0
32.0,53.0,25.0,95.0
32.0,51.0,25.0,95.0
33.0,54.0,25.0,95.0
33.0,54.0,25.0,95.0
33.0,54.0,25.0,95.0
33.0,53.0,25.0,95.0
33.0,53.0,25.0,95.0
33.0,53.0,25.0,95.0
33.0,52.0,25.0,95.0
33.0,52.0,25.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
33.0,52.0,26.0,95.0
34.0,52.0,26.0,95.0
34.0,53.0,26.0,95.0
33.0,53.0,26.0,95.0
34.0,53.0,26.0,95.0
34.0,53.0,26.0,95.0
34.0,53.0,26.0,95.0
34.0,53.0,26.0,95.0
34.0,53.0,26.0,95.0
34.0,53.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,54.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,53.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,27.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,55.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
34.0,54.0,28.0,95.0
