25.0,74.0,23.0
25.0,73.0,22.0
25.0,73.0,22.0
25.0,75.0,23.0
25.0,75.0,23.0
25.0,75.0,23.0
25.0,75.0,22.0
25.0,76.0,23.0
25.0,76.0,23.0
25.0,76.0,23.0
25.0,75.0,23.0
25.0,73.0,22.0
25.0,75.0,22.0
26.0,76.0,23.0
25.0,73.0,23.0
26.0,77.0,22.0
26.0,76.0,22.0
26.0,74.0,23.0
26.0,76.0,22.0
26.0,76.0,23.0
26.0,74.0,23.0
26.0,76.0,23.0
26.0,74.0,23.0
26.0,76.0,23.0
26.0,76.0,22.0
25.0,75.0,22.0
25.0,75.0,22.0
25.0,76.0,23.0
25.0,77.0,22.0
25.0,78.0,23.0
25.0,78.0,23.0
25.0,78.0,23.0
25.0,79.0,23.0
24.0,80.0,22.0
24.0,80.0,22.0
24.0,82.0,23.0
24.0,82.0,23.0
24.0,83.0,22.0
24.0,82.0,23.0
24.0,72.0,23.0
24.0,71.0,23.0
24.0,70.0,23.0
24.0,70.0,23.0
24.0,70.0,22.0
24.0,75.0,23.0
24.0,76.0,23.0
24.0,78.0,23.0
24.0,80.0,22.0
24.0,72.0,23.0
24.0,72.0,23.0
24.0,80.0,22.0
24.0,80.0,22.0
24.0,81.0,22.0
25.0,70.0,22.0
25.0,70.0,23.0
24.0,70.0,23.0
24.0,70.0,23.0
24.0,69.0,23.0
25.0,66.0,23.0
25.0,66.0,23.0
25.0,67.0,23.0
25.0,72.0,23.0
25.0,70.0,23.0
25.0,73.0,22.0
25.0,73.0,23.0
25.0,73.0,22.0
26.0,72.0,23.0
26.0,75.0,23.0
26.0,74.0,22.0
26.0,74.0,23.0
26.0,75.0,22.0
26.0,73.0,23.0
26.0,75.0,22.0
26.0,76.0,23.0
26.0,76.0,22.0
26.0,76.0,23.0
26.0,76.0,22.0
26.0,75.0,23.0
26.0,76.0,23.0
26.0,74.0,23.0
26.0,76.0,23.0
26.0,76.0,23.0
26.0,77.0,23.0
25.0,74.0,23.0
25.0,76.0,23.0
25.0,75.0,22.0
25.0,76.0,23.0
25.0,79.0,23.0
25.0,80.0,22.0
25.0,81.0,23.0
25.0,81.0,22.0
25.0,82.0,23.0
24.0,83.0,23.0
24.0,82.0,22.0
24.0,71.0,23.0
24.0,71.0,22.0
24.0,71.0,22.0
24.0,70.0,23.0
24.0,71.0,23.0
24.0,76.0,22.0
24.0,78.0,23.0
24.0,80.0,22.0
24.0,80.0,23.0
24.0,81.0,23.0
24.0,80.0,22.0
24.0,83.0,23.0
24.0,81.0,23.0
24.0,75.0,22.0
24.0,70.0,23.0
24.0,70.0,23.0
24.0,70.0,23.0
24.0,70.0,23.0
25.0,67.0,22.0
25.0,67.0,23.0
25.0,70.0,23.0
25.0,70.0,22.0
25.0,70.0,23.0
25.0,71.0,23.0
25.0,71.0,23.0
25.0,74.0,22.0
25.0,72.0,22.0
25.0,74.0,23.0
26.0,73.0,22.0
26.0,75.0,23.0
26.0,75.0,23.0
26.0,74.0,22.0
26.0,73.0,23.0
26.0,76.0,23.0
26.0,75.0,23.0
26.0,75.0,23.0
26.0,75.0,22.0
26.0,75.0,22.0
26.0,76.0,22.0
26.0,74.0,22.0
26.0,76.0,22.0
26.0,74.0,23.0
26.0,75.0,23.0
26.0,77.0,22.0
26.0,75.0,22.0
25.0,77.0,22.0
25.0,76.0,22.0
25.0,78.0,23.0
25.0,77.0,23.0
25.0,79.0,23.0
25.0,79.0,23.0
25.0,80.0,23.0
25.0,80.0,23.0
25.0,82.0,22.0
24.0,82.0,22.0
24.0,84.0,23.0
24.0,73.0,22.0
24.0,73.0,22.0
24.0,73.0,23.0
24.0,72.0,23.0
24.0,72.0,23.0
24.0,72.0,23.0
24.0,75.0,23.0
24.0,78.0,23.0
24.0,78.0,23.0
24.0,80.0,23.0
24.0,80.0,23.0
24.0,80.0,23.0
24.0,82.0,22.0
24.0,82.0,22.0
24.0,73.0,23.0
24.0,73.0,23.0
24.0,73.0,23.0
24.0,73.0,23.0
24.0,71.0,23.0
25.0,71.0,23.0
25.0,72.0,23.0
25.0,73.0,22.0
25.0,73.0,23.0
25.0,74.0,22.0
25.0,74.0,22.0
25.0,76.0,22.0
25.0,74.0,23.0
26.0,75.0,23.0
26.0,75.0,23.0
26.0,76.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,76.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,77.0,23.0
26.0,79.0,22.0
26.0,77.0,23.0
26.0,80.0,23.0
26.0,78.0,23.0
26.0,80.0,22.0
26.0,80.0,22.0
26.0,80.0,23.0
26.0,81.0,23.0
25.0,78.0,23.0
25.0,81.0,23.0
25.0,80.0,23.0
25.0,81.0,23.0
25.0,82.0,23.0
25.0,83.0,23.0
24.0,74.0,23.0
24.0,74.0,22.0
24.0,75.0,23.0
24.0,73.0,22.0
24.0,72.0,22.0
24.0,72.0,23.0
24.0,73.0,22.0
24.0,76.0,23.0
24.0,75.0,23.0
24.0,77.0,22.0
24.0,80.0,23.0
24.0,82.0,22.0
24.0,84.0,23.0
24.0,85.0,23.0
24.0,87.0,23.0
24.0,76.0,23.0
24.0,76.0,23.0
24.0,75.0,23.0
24.0,75.0,22.0
24.0,75.0,22.0
24.0,73.0,22.0
25.0,72.0,23.0
25.0,71.0,22.0
25.0,74.0,23.0
25.0,73.0,23.0
25.0,74.0,23.0
25.0,77.0,22.0
25.0,77.0,23.0
26.0,76.0,23.0
26.0,76.0,23.0
26.0,78.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,79.0,22.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,78.0,22.0
26.0,80.0,23.0
26.0,80.0,22.0
26.0,78.0,23.0
26.0,80.0,22.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,81.0,23.0
25.0,74.0,22.0
25.0,74.0,23.0
24.0,75.0,23.0
24.0,73.0,22.0
24.0,73.0,23.0
25.0,72.0,22.0
25.0,73.0,23.0
25.0,77.0,22.0
24.0,77.0,23.0
24.0,80.0,23.0
24.0,81.0,23.0
24.0,84.0,23.0
24.0,84.0,23.0
24.0,86.0,23.0
24.0,85.0,23.0
24.0,77.0,22.0
24.0,77.0,23.0
24.0,77.0,23.0
24.0,77.0,23.0
24.0,76.0,23.0
24.0,76.0,22.0
24.0,79.0,23.0
24.0,78.0,23.0
24.0,78.0,23.0
24.0,82.0,22.0
24.0,82.0,23.0
25.0,83.0,23.0
24.0,83.0,23.0
24.0,76.0,23.0
24.0,76.0,23.0
24.0,76.0,22.0
24.0,76.0,23.0
24.0,76.0,23.0
24.0,76.0,23.0
24.0,75.0,23.0
25.0,72.0,22.0
25.0,72.0,23.0
25.0,72.0,23.0
25.0,76.0,23.0
25.0,74.0,23.0
25.0,76.0,22.0
25.0,76.0,23.0
26.0,74.0,23.0
26.0,75.0,23.0
26.0,79.0,23.0
26.0,77.0,22.0
26.0,75.0,23.0
26.0,73.0,23.0
26.0,76.0,23.0
26.0,78.0,22.0
26.0,76.0,23.0
26.0,78.0,23.0
26.0,81.0,22.0
26.0,81.0,23.0
26.0,82.0,22.0
26.0,82.0,23.0
26.0,80.0,23.0
26.0,82.0,22.0
25.0,75.0,23.0
25.0,76.0,22.0
25.0,79.0,23.0
25.0,75.0,22.0
25.0,75.0,23.0
25.0,76.0,22.0
25.0,75.0,23.0
25.0,75.0,22.0
25.0,78.0,23.0
25.0,78.0,23.0
25.0,79.0,23.0
26.0,80.0,23.0
26.0,81.0,22.0
26.0,82.0,23.0
26.0,81.0,23.0
25.0,74.0,23.0
25.0,75.0,23.0
25.0,77.0,23.0
25.0,77.0,23.0
25.0,75.0,23.0
25.0,73.0,23.0
25.0,76.0,22.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,79.0,23.0
26.0,81.0,23.0
25.0,80.0,23.0
25.0,74.0,22.0
25.0,73.0,23.0
25.0,76.0,23.0
24.0,77.0,22.0
25.0,76.0,23.0
25.0,75.0,23.0
25.0,75.0,22.0
25.0,78.0,22.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,79.0,23.0
25.0,81.0,23.0
25.0,82.0,23.0
26.0,83.0,23.0
26.0,84.0,23.0
25.0,79.0,22.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,77.0,23.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,76.0,22.0
25.0,75.0,23.0
25.0,77.0,23.0
26.0,79.0,23.0
26.0,80.0,22.0
26.0,81.0,23.0
25.0,74.0,23.0
25.0,72.0,23.0
25.0,76.0,23.0
25.0,77.0,23.0
24.0,78.0,22.0
25.0,76.0,22.0
25.0,74.0,23.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,75.0,23.0
26.0,79.0,23.0
25.0,79.0,23.0
26.0,81.0,23.0
26.0,81.0,23.0
26.0,82.0,23.0
26.0,82.0,23.0
26.0,82.0,23.0
25.0,76.0,23.0
25.0,74.0,23.0
24.0,77.0,23.0
24.0,78.0,23.0
25.0,77.0,22.0
25.0,76.0,23.0
25.0,78.0,22.0
25.0,77.0,23.0
25.0,78.0,23.0
26.0,81.0,23.0
26.0,79.0,22.0
26.0,81.0,23.0
26.0,82.0,22.0
26.0,82.0,23.0
26.0,82.0,23.0
25.0,75.0,23.0
25.0,74.0,23.0
24.0,78.0,23.0
25.0,76.0,22.0
25.0,77.0,23.0
25.0,75.0,23.0
25.0,77.0,23.0
25.0,77.0,22.0
25.0,78.0,23.0
25.0,79.0,23.0
26.0,81.0,23.0
25.0,80.0,23.0
26.0,81.0,23.0
25.0,76.0,23.0
25.0,75.0,23.0
24.0,77.0,23.0
25.0,78.0,22.0
25.0,76.0,23.0
25.0,76.0,23.0
25.0,76.0,23.0
25.0,77.0,23.0
26.0,79.0,22.0
26.0,77.0,23.0
26.0,79.0,23.0
26.0,79.0,22.0
26.0,80.0,23.0
26.0,80.0,22.0
26.0,80.0,23.0
26.0,80.0,22.0
26.0,81.0,23.0
26.0,76.0,23.0
26.0,74.0,23.0
25.0,77.0,23.0
25.0,75.0,23.0
24.0,77.0,22.0
25.0,78.0,23.0
25.0,76.0,23.0
25.0,76.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,80.0,23.0
26.0,77.0,23.0
26.0,78.0,23.0
26.0,80.0,23.0
26.0,80.0,22.0
26.0,80.0,23.0
26.0,78.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,79.0,23.0
26.0,81.0,22.0
26.0,81.0,23.0
26.0,81.0,23.0
25.0,75.0,23.0
25.0,76.0,23.0
25.0,78.0,23.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,75.0,23.0
25.0,75.0,23.0
26.0,78.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,81.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,76.0,23.0
25.0,77.0,23.0
25.0,75.0,23.0
25.0,77.0,22.0
25.0,74.0,23.0
25.0,74.0,23.0
25.0,74.0,23.0
26.0,77.0,23.0
26.0,77.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,77.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,79.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,22.0
26.0,78.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,82.0,23.0
26.0,80.0,23.0
26.0,82.0,23.0
26.0,82.0,23.0
26.0,76.0,23.0
25.0,75.0,23.0
25.0,75.0,23.0
25.0,75.0,23.0
25.0,74.0,23.0
25.0,75.0,23.0
25.0,75.0,23.0
26.0,77.0,23.0
26.0,75.0,23.0
26.0,78.0,23.0
26.0,79.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,81.0,23.0
25.0,75.0,23.0
25.0,73.0,23.0
25.0,76.0,23.0
25.0,78.0,23.0
25.0,75.0,23.0
25.0,74.0,23.0
25.0,74.0,24.0
26.0,75.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,24.0
26.0,80.0,23.0
26.0,78.0,23.0
26.0,80.0,23.0
26.0,80.0,24.0
26.0,79.0,23.0
26.0,80.0,24.0
26.0,81.0,23.0
26.0,81.0,23.0
26.0,79.0,23.0
26.0,74.0,23.0
25.0,75.0,24.0
25.0,76.0,23.0
25.0,77.0,23.0
25.0,76.0,23.0
25.0,74.0,24.0
25.0,72.0,23.0
26.0,77.0,23.0
26.0,77.0,23.0
26.0,77.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,76.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,77.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,79.0,23.0
26.0,77.0,23.0
26.0,79.0,24.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,80.0,23.0
26.0,73.0,23.0
26.0,77.0,23.0
26.0,75.0,24.0
26.0,78.0,23.0
26.0,73.0,23.0
26.0,77.0,23.0
26.0,75.0,23.0
26.0,77.0,23.0
26.0,75.0,24.0
26.0,78.0,23.0
26.0,78.0,23.0
26.0,76.0,23.0
26.0,79.0,23.0
26.0,79.0,23.0
26.0,81.0,23.0
26.0,81.0,23.0
26.0,74.0,24.0
25.0,74.0,24.0
25.0,75.0,24.0
25.0,76.0,24.0
25.0,74.0,23.0
25.0,72.0,24.0
25.0,75.0,24.0
26.0,75.0,23.0
26.0,78.0,24.0
26.0,78.0,24.0
26.0,79.0,23.0
26.0,78.0,24.0
26.0,80.0,24.0
26.0,78.0,24.0
26.0,79.0,24.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,80.0,24.0
26.0,80.0,24.0
26.0,80.0,23.0
26.0,75.0,24.0
25.0,75.0,24.0
25.0,75.0,24.0
25.0,75.0,24.0
25.0,75.0,23.0
25.0,76.0,24.0
25.0,76.0,24.0
26.0,78.0,24.0
26.0,79.0,23.0
26.0,78.0,24.0
26.0,79.0,24.0
26.0,80.0,24.0
26.0,78.0,24.0
26.0,80.0,24.0
26.0,80.0,24.0
26.0,81.0,24.0
26.0,76.0,24.0
26.0,79.0,24.0
26.0,81.0,24.0
26.0,79.0,24.0
26.0,82.0,24.0
26.0,77.0,23.0
25.0,77.0,24.0
25.0,75.0,24.0
25.0,77.0,24.0
25.0,78.0,23.0
25.0,75.0,23.0
25.0,73.0,23.0
25.0,76.0,23.0
26.0,78.0,24.0
26.0,79.0,23.0
26.0,80.0,24.0
26.0,80.0,24.0
26.0,80.0,24.0
26.0,81.0,23.0
26.0,79.0,24.0
26.0,81.0,24.0
25.0,78.0,23.0
25.0,79.0,23.0
25.0,77.0,24.0
25.0,80.0,24.0
25.0,79.0,24.0
25.0,78.0,23.0
25.0,76.0,24.0
25.0,79.0,24.0
26.0,81.0,23.0
26.0,81.0,24.0
26.0,80.0,24.0
26.0,80.0,24.0
26.0,82.0,24.0
25.0,79.0,24.0
25.0,77.0,24.0
25.0,80.0,24.0
25.0,80.0,24.0
25.0,78.0,24.0
25.0,79.0,24.0
26.0,80.0,23.0
26.0,80.0,23.0
26.0,80.0,24.0
26.0,81.0,24.0
26.0,82.0,24.0
26.0,82.0,24.0
25.0,76.0,24.0
25.0,76.0,23.0
25.0,79.0,23.0
25.0,80.0,24.0
25.0,81.0,24.0
25.0,79.0,23.0
25.0,79.0,23.0
25.0,80.0,24.0
25.0,78.0,24.0
25.0,80.0,24.0
25.0,81.0,24.0
25.0,79.0,24.0
25.0,77.0,23.0
25.0,79.0,24.0
25.0,80.0,24.0
25.0,81.0,23.0
25.0,81.0,23.0
25.0,79.0,24.0
25.0,77.0,24.0
25.0,77.0,24.0
25.0,80.0,23.0
25.0,81.0,23.0
25.0,78.0,24.0
25.0,78.0,23.0
25.0,79.0,23.0
25.0,80.0,24.0
26.0,80.0,24.0
